engine,uncompressed_size,compressed_size
bzip2,21740129,47
bzip2,21740130,47
bzip2,21740131,47
bzip2,21740132,47
bzip2,21740133,47
bzip2,21740134,47
bzip2,21740135,47
bzip2,21740136,47
bzip2,21740137,47
bzip2,21740138,47
bzip2,21740139,47
bzip2,21740140,47
bzip2,21740141,49
bzip2,21740142,49
bzip2,21740143,49
bzip2,21740144,49
bzip2,21740145,49
bzip2,21740146,49
bzip2,21740147,49
bzip2,21740148,49
bzip2,21740149,49
bzip2,21740150,49
bzip2,21740151,49
bzip2,21740152,49
bzip2,21740153,49
bzip2,21740154,49
bzip2,21740155,49
bzip2,21740156,49
bzip2,21740157,49
bzip2,21740158,49
bzip2,21740159,49
bzip2,21740160,49
bzip2,21740161,49
bzip2,21740162,49
bzip2,21740163,49
bzip2,21740164,49
bzip2,21740165,49
bzip2,21740166,49
bzip2,21740167,49
bzip2,21740168,49
bzip2,21740169,49
bzip2,21740170,49
bzip2,21740171,49
bzip2,21740172,49
bzip2,21740173,49
bzip2,21740174,49
bzip2,21740175,49
bzip2,21740176,49
bzip2,21740177,49
bzip2,21740178,49
bzip2,21740179,49
bzip2,21740180,49
bzip2,21740181,49
bzip2,21740182,49
bzip2,21740183,49
bzip2,21740184,49
bzip2,21740185,49
bzip2,21740186,49
bzip2,21740187,49
bzip2,21740188,49
bzip2,21740189,49
bzip2,21740190,49
bzip2,21740191,49
bzip2,21740192,49
bzip2,21740193,49
bzip2,21740194,49
bzip2,21740195,49
bzip2,21740196,49
bzip2,21740197,49
bzip2,21740198,49
bzip2,21740199,49
bzip2,21740200,49
bzip2,21740201,49
bzip2,21740202,49
bzip2,21740203,49
bzip2,21740204,49
bzip2,21740205,49
bzip2,21740206,49
bzip2,21740207,49
bzip2,21740208,49
bzip2,21740209,49
bzip2,21740210,49
bzip2,21740211,49
bzip2,21740212,49
bzip2,21740213,49
bzip2,21740214,49
bzip2,21740215,49
bzip2,21740216,49
bzip2,21740217,49
bzip2,21740218,49
bzip2,21740219,49
bzip2,21740220,49
bzip2,21740221,49
bzip2,21740222,49
bzip2,21740223,49
bzip2,21740224,49
bzip2,21740225,49
bzip2,21740226,49
bzip2,21740227,49
bzip2,21740228,49
bzip2,21740229,49
bzip2,21740230,49
bzip2,21740231,49
bzip2,21740232,49
bzip2,21740233,49
bzip2,21740234,49
bzip2,21740235,49
bzip2,21740236,49
bzip2,21740237,49
bzip2,21740238,49
bzip2,21740239,49
bzip2,21740240,49
bzip2,21740241,49
bzip2,21740242,49
bzip2,21740243,49
bzip2,21740244,49
bzip2,21740245,49
bzip2,21740246,49
bzip2,21740247,49
bzip2,21740248,49
bzip2,21740249,49
bzip2,21740250,49
bzip2,21740251,49
bzip2,21740252,49
bzip2,21740253,49
bzip2,21740254,49
